product_id,source_path,edited_path,mask_path,mask_coverage_ratio,changed_ratio_all,changed_ratio_mask,changed_ratio_non_mask,mean_abs_diff_all,mean_abs_diff_mask,mean_abs_diff_non_mask,removal_score,preservation_score,edit_localization_score,quality_score
T1.3BPFFJdXXXXXXXX_!!0-item_pic.jpg,data/mtwi_train/image_train/T1.3BPFFJdXXXXXXXX_!!0-item_pic.jpg.jpg,outputs/mtwi_images/T1.3BPFFJdXXXXXXXX_!!0-item_pic.jpg_erased.png,outputs/mtwi_images/T1.3BPFFJdXXXXXXXX_!!0-item_pic.jpg_mask.png,0.273154,0.157309,0.156511,0.000799,10.8275,39.1874,0.1696,1.0,0.9915,1.0,0.9966
T1.AK_XX8hXXbnu_Z1_042512.jpg,data/mtwi_train/image_train/T1.AK_XX8hXXbnu_Z1_042512.jpg.jpg,outputs/mtwi_images/T1.AK_XX8hXXbnu_Z1_042512.jpg_erased.png,outputs/mtwi_images/T1.AK_XX8hXXbnu_Z1_042512.jpg_mask.png,0.204173,0.086237,0.080604,0.005633,5.4428,24.9565,0.4365,0.8913,0.9782,1.0,0.9424
T1.MlmFvtbXXXXXXXX_!!0-item_pic.jpg,data/mtwi_train/image_train/T1.MlmFvtbXXXXXXXX_!!0-item_pic.jpg.jpg,outputs/mtwi_images/T1.MlmFvtbXXXXXXXX_!!0-item_pic.jpg_erased.png,outputs/mtwi_images/T1.MlmFvtbXXXXXXXX_!!0-item_pic.jpg_mask.png,0.211584,0.126891,0.124441,0.00245,14.095,65.637,0.2629,1.0,0.9869,1.0,0.9947
